Company,count,share_pct
"Persolve, LLC - Legal - Series 2",307,0.002738702206635706
"Nationwide Capital Services, LLC",307,0.002738702206635706
Grant & Weber,306,0.00272978135254243
"Bliksum, LLC",305,0.002720860498449154
Newport Intermediate Inc.,302,0.0026940979361693264
"Peer Advisors, LLC",302,0.0026940979361693264
"ARS National Services, Inc.",302,0.0026940979361693264
CHERRY TECHNOLOGIES INC.,301,0.0026851770820760503
CARD Corporation,301,0.0026851770820760503
Patient Accounting Service Center,300,0.0026762562279827747
"ATG Credit, LLC",297,0.002649493665702947
"Asset Recovery Solutions, LLC",297,0.002649493665702947
Atlantic Recovery Solutions LLC,296,0.002640572811609671
"Leafy Financial, LLC",295,0.0026316519575163948
Torriere Holdings INC,295,0.0026316519575163948
"Herbert P. Sears Co., Inc.",293,0.002613810249329843
"Ria Envia, LLC",292,0.0026048893952365674
"The Best Service Co.,Inc",292,0.0026048893952365674
Bonneville Billing and Collections,291,0.0025959685411432913
Sequoia Financial Services,290,0.0025870476870500153
"Lloyd & McDaniel, PLC",290,0.0025870476870500153
Credit Card Receivables Fund Incorporated,289,0.0025781268329567396
"Blockchain.com, Inc.",289,0.0025781268329567396
"Designed Receivable Solutions, Inc.",288,0.0025692059788634636
"Jim Bottin Enterprises, Inc",286,0.002551364270676912
Statebridge Company,286,0.002551364270676912
"MIB Group, Inc.",284,0.0025335225624903597
AUTOMOTIVE CREDIT CORPORATION,284,0.0025335225624903597
